Name,Observed Wavelength of H-alpha,Apparent Mag,RA J2000.0,Dec J2000.0
PGC039662,6593.3808170216835,13.180724812903321,12 19 23.8,+06 13 59
PGC091191,6558.7149991797805,12.370214983959492,12 19 25.9,+00 12 45
PGC039670,6585.622690286421,14.1486443847744,12 19 25.9,+13 18 38
PGC1270208,6565.6977631903055,13.542086657537084,12 19 27.7,+04 34 42
PGC039672,6578.984040042773,14.562878284370953,12 19 27.8,+05 02 51
PGC039669,6564.993887895996,13.931444457411231,12 19 28.5,+06 16 23
UGC07366,6587.539206189463,14.21955672930926,12 19 28.7,+17 13 50
NGC4262,6589.095475000327,13.324134847388443,12 19 30.6,+14 52 40
NGC4264,6577.2328539748705,13.540117907134743,12 19 35.8,+05 50 48
PGC039692,6603.396799744054,14.346628174969233,12 19 37.0,+15 09 44
EVCC0352,6569.791123991834,13.716574500719162,12 19 39.3,+07 07 11
UGC07370,6576.525354599804,12.068667532046629,12 19 40.3,+02 04 48
NGC4266,6566.521679783566,15.047388518660721,12 19 42.3,+05 32 18
AGC227980,6590.530480074911,14.69377155399355,12 19 42.5,+05 35 15
NGC4267,6618.634942006965,12.66089576813389,12 19 45.3,+12 47 54
IC3155,6568.216211754169,15.2361920443939,12 19 45.3,+06 00 21
PGC039711,6575.225162666393,14.903895712897448,12 19 45.3,+05 27 24
NGC4268,6576.049219831676,12.678722310111453,12 19 47.2,+05 17 01
2MASXJ12194916+0511061,6561.952440221608,14.071036227683216,12 19 49.2,+05 11 06
NGC 4269,6580.256015306393,14.178640273246248,12 19 49.2,+06 00 54
NGC4270,6598.666729282828,12.05895456998011,12 19 49.4,+05 27 48
PGC039727,6561.846659400271,12.304106988656205,12 19 51.5,+05 59 47
PGC039730,6566.529310929852,11.497048899624197,12 19 53.2,+01 46 24
PGC039734 = VCC0381,6555.523274638614,14.266918077383387,12 19 53.5,+06 39 57
SDSSJ121953.72+060156.4,6551.40040315022,13.206360193121625,12 19 53.7,+06 01 56
NGC4273,6561.763687244143,11.803017507674,12 19 56.1,+05 20 36
IC0781,6586.605191222181,12.078318106216045,12 20 03.3,+14 57 41
PGC039757,6570.245612438677,11.219461580841095,12 20 03.5,+06 00 38
NGC4277,6582.069730444561,13.777617783476803,12 20 03.7,+05 20 27
PGC039760,6566.644909922302,13.30080271366446,12 20 04.0,+05 24 53
NGC4276,6586.541940611102,14.065587138086691,12 20 07.5,+07 41 30
PGC039766,6562.863077617416,13.089100516189106,12 20 08.6,+09 28 04
PGC1211453,6543.208214482978,12.93941152730143,12 20 11.5,+01 57 31
PGC039772,6585.1355018452705,14.194970619194315,12 20 12.2,+06 37 23
SDSSJ122013.89+050106.1,6569.243408016603,14.581070537759732,12 20 13.9,+05 01 07
PGC039788,6583.786066542368,12.23901649371582,12 20 16.2,+05 02 21
UGC07387,6560.036353123883,10.191139669178643,12 20 17.4,+04 12 07
PGC039792,6565.669718572808,14.240006751763936,12 20 17.8,+06 00 06
IC3167,6568.747970832315,14.658616591241952,12 20 18.8,+09 32 43
SDSSJ122020.13+094750.0,6590.484305142881,15.02388254950326,12 20 20.1,+09 47 50
PGC039799,6554.401707501787,11.51871347737718,12 20 21.2,+00 22 01
NGC4281,6562.070718490288,12.840495982912536,12 20 21.5,+05 23 11
PGC039803,6593.028356883814,11.88671519822205,12 20 21.8,+12 11 16
PGC039804,6576.030782445604,10.026728917726146,12 20 23.2,+06 08 06
PGC039806,6583.198828918642,15.15193154714698,12 20 23.3,+13 53 52
NGC4282,6576.221236209724,13.344531527881209,12 20 24.3,+05 34 22
PGC039813,6573.963177697376,14.915786646043529,12 20 25.3,+06 54 31
UGC07394,6558.415976973262,13.768204602013885,12 20 27.7,+01 28 11
PGC1108616,6554.917670991272,11.107971089500964,12 20 28.8,-01 50 21
PGC1143004,6576.710841809772,12.948628349542773,12 20 30.3,-00 27 03
PGC039825,6574.011830313984,13.130666107105995,12 20 30.7,+13 31 09
SDSSJ122030.92+063823.7,6583.19159316598,11.764577975323085,12 20 30.9,+06 38 24
UGC07396,6579.202886281522,14.821977753935862,12 20 33.8,+00 47 17
PGC039833,6582.557436709319,11.379071560117971,12 20 33.9,+02 58 04
PGC1289492,6581.800942903478,11.197813016920783,12 20 35.0,+05 48 27
PGC039838,6590.507466477177,14.015964062000553,12 20 36.4,+12 53 05
SDSSJ122038.59+055432.3,6558.713608738003,15.25188074178087,12 20 38.6,+05 54 32
PGC1278179,6583.786832702353,12.207236004778018,12 20 40.1,+05 06 18
PGC039845,6589.47120330773,13.591964045041898,12 20 40.3,+13 53 21
AGC229052,6581.198305896192,10.0459735582712,12 20 41.1,+24 57 21
PGC039849,6599.804592513013,13.008257290297749,12 20 43.9,+14 37 52
NGC4287,6573.648048328155,12.880856790209265,12 20 48.5,+05 38 23
UGC07399A,6591.276030967311,12.346207686393548,12 20 48.8,+17 29 14
PGC039861,6580.384499688662,14.482927515235431,12 20 48.8,+06 43 25
PGC1292491,6570.50797597906,13.150981187456399,12 20 48.9,+05 58 54
PGC039863,6594.730835742316,13.937451025009267,12 20 51.2,+07 03 33
PGC039866,6574.798775963733,11.138004587788586,12 20 52.2,+05 13 55
SDSSJ122054.58+032409.7,6552.538594630352,13.399838144019366,12 20 54.6,+03 24 10
SDSSJ122056.32+051120.5,6563.868088729045,13.854654900004356,12 20 56.3,+05 11 20
PGC039878,6567.838039958225,14.744213981752694,12 20 57.8,+06 20 22
PGC039883,6577.084483152124,14.629330349900307,12 21 00.2,+12 43 33
NGC4289,6566.392726846395,12.716093150487566,12 21 02.3,+03 43 19
PGC039889,6578.253819985401,11.837144655185849,12 21 03.7,+07 04 40
PGC039893,6594.305631838324,11.052757916661157,12 21 04.8,+11 45 17
PGC039902,6569.2075620786745,13.78873240016,12 21 05.7,+00 33 10
PGC039894,6590.938323390465,13.1512177264987,12 21 06.0,+11 35 43
PGC1166504,6566.220579352668,13.393497123807514,12 21 07.0,+00 27 41
PGC039904,6604.176369244726,11.959401833752324,12 21 11.3,+17 38 19
PGC039905,6599.453474092649,14.35408166526539,12 21 12.8,+08 57 47
NGC4293,6587.7681913670785,13.55087012028038,12 21 12.9,+18 22 59
AGC226131,6584.45110043704,12.309723803939463,12 21 13.2,+10 37 32
PGC039910,6571.497070687502,11.023134294784256,12 21 15.1,+13 20 47
PGC039923,6593.934363477227,14.501658355625228,12 21 15.3,+05 20 30
NGC4292,6586.927366020149,13.56376568983277,12 21 16.5,+04 35 44
NGC4294,6587.1570865905,14.942114157882106,12 21 17.8,+11 30 38
PGC039929,6603.239118041296,14.707714412984508,12 21 18.6,+04 04 35
PGC039928,6601.921536083568,13.58823893833403,12 21 19.2,+16 36 33
PGC1291858,6599.008720419005,11.586571166132238,12 21 22.5,+05 56 52
PGC5065931,6581.260736718637,12.629855061506568,12 21 26.0,+14 24 42
KDG104,6586.604621443001,13.027377165557368,12 21 27.2,+15 01 17
PGC039947,6603.900066280852,13.556930485010504,12 21 29.0,+08 09 03
SDSSJ122130.67+123915.1,6589.345245722035,13.242486075685889,12 21 30.7,+12 39 15
NGC4298,6574.627725036699,14.525009396355497,12 21 32.8,+14 36 22
UGC07411,6555.687717326862,13.365115246881437,12 21 34.1,+04 46 46
IC0782,6571.71455120776,15.0377043166841,12 21 37.0,+05 45 57
SDSSJ122138.38+084638.0,6567.468032500125,9.717593174054542,12 21 38.4,+08 46 38
IC0783,6571.564366176152,11.744350513880466,12 21 38.8,+15 44 42
PGC039967,6565.998236721257,11.867008178276372,12 21 39.6,+04 23 34
AGC229177,6556.191295566105,12.103778393346886,12 21 40.2,+01 50 25
NGC4299,6562.068385712446,10.61464374409583,12 21 40.6,+11 30 10
NGC4300,6558.78953708759,13.136435305023504,12 21 41.5,+05 23 05
PGC039971,6589.086294591492,14.996738757476301,12 21 41.6,+15 04 32
NGC4302,6605.1695794075495,14.138353918156234,12 21 42.4,+14 35 54
PGC039985,6586.871962927609,11.026651459225018,12 21 44.6,+09 14 12
PGC1292607,6581.527532081391,13.557947565221056,12 21 47.1,+05 59 20
PGC039986,6601.407661109007,12.94284639642673,12 21 48.0,+12 49 36
PGC039996,6565.7307362912015,13.32688563512146,12 21 50.1,+09 44 21
PGC039994,6589.196728485561,13.497834048493047,12 21 50.4,+08 32 30
UGC07425,6582.844947996639,14.504071356626895,12 21 53.7,+15 38 46
NGC4303,6582.947229555513,12.974207187844861,12 21 54.8,+04 28 26
UGC07423,6555.740305583967,11.196500695698305,12 21 55.5,+06 27 03
UGC07421,6581.083699609132,9.897693981444355,12 21 55.6,+11 58 01
PGC3294456,6568.705367658685,12.446179344498145,12 21 55.8,-01 35 36
SDSSJ122155.85+174052.5,6594.353398928184,15.146449177011927,12 21 55.9,+17 40 53
UGC07424,6565.560051357387,14.929119722830066,12 21 57.5,+08 40 30
PGC040015,6560.143308124187,12.351649037074203,12 21 57.8,+02 20 42
UGC07422,6581.504367898012,13.53836702369172,12 22 01.3,+05 06 01
NGC4305,6587.540941100131,13.960791417521065,12 22 03.6,+12 44 27
NGC4306,6586.913317437657,12.986976550520346,12 22 04.1,+12 47 15
SDSSJ122204.66+074422.0,6590.42928545376,11.49164987083871,12 22 04.6,+07 44 22
NGC4307,6581.053212418666,14.569032602320746,12 22 05.7,+09 02 37
PGC040037,6564.498363831818,12.749921585800621,12 22 06.5,+06 46 57
GR34,6604.785833964596,13.573919920782352,12 22 07.7,+15 47 57
PGC040046,6576.164850922415,13.997872119038579,12 22 08.6,+09 53 40
IC3215,6607.047843147024,12.039360579208754,12 22 10.2,+26 03 08
PGC040050,6591.053329615524,14.492876542346572,12 22 11.0,+04 57 07
NGC4309,6569.9339366579825,14.458403318177378,12 22 12.4,+07 08 39
PGC040059,6563.920601964452,12.899071225507825,12 22 14.7,+07 10 02
PGC040058,6594.272034855299,11.711450340750165,12 22 14.8,+14 08 32
IC3218,6574.417747950302,15.021445445841927,12 22 19.5,+06 55 40
UGC07436,6580.747875309497,11.797915697508643,12 22 19.5,+14 45 39
IC0783A,6600.454859134642,11.323151826519034,12 22 19.6,+15 44 01
PGC040074,6589.631493839533,12.610593145613635,12 22 21.6,+10 36 07
PGC040083,6574.335017396795,14.728894498829344,12 22 24.3,+15 28 16
NGC4303A,6568.201920782291,11.064144986851506,12 22 27.2,+04 33 59
PGC040094,6606.98470474965,10.424042214342474,12 22 31.3,+07 07 08
NGC4312,6594.596716614225,13.83189161595243,12 22 31.3,+15 32 16
PGC040096,6579.2481017753535,13.149022267874635,12 22 31.7,+11 48 09
AGC227956,6585.128807017258,12.210495413549904,12 22 31.7,+04 40 11
IC3227,6602.481581690472,14.2705861875044,12 22 35.7,+24 05 08
PGC040100,6589.550139611498,10.939009240517116,12 22 35.9,+12 09 28
PGC040107,6579.7162459094425,13.815849320559128,12 22 37.8,+08 17 47
VCC565,6552.937255834417,11.518678850912103,12 22 38.4,+06 00 52
NGC4313,6600.790261835085,14.183758929475953,12 22 38.5,+11 48 04
IC3225,6568.525101395569,14.621946326761503,12 22 39.0,+06 40 38
PGC040115,6603.086591190554,13.819836359933277,12 22 41.1,+07 57 01
NGC4316,6584.811526857381,12.449023838667337,12 22 42.2,+09 19 57
NGC4318,6586.5907662332465,11.304242120794036,12 22 43.3,+08 11 54
SDSSJ122243.57+052723.0,6589.430351238643,12.764355444431636,12 22 43.6,+05 27 23
KK140,6592.678700228805,14.114614998181672,12 22 48.3,+07 54 49
PGC040141,6576.34543354474,14.02314270311608,12 22 50.8,+13 35 34
IC3229,6568.673593361457,13.835269959145108,12 22 52.8,+06 40 48
NGC4321,6590.000478658494,12.061596587372463,12 22 54.9,+15 49 20
PGC040156,6571.912731953282,14.274611154004972,12 22 56.2,+07 43 59
PGC040157,6586.2374593612985,13.504037609578546,12 22 56.6,+02 44 49
PGC1337184,6592.341301880013,14.422115276726231,12 22 59.7,+08 01 51
NGC4323,6592.54020473438,14.039932820241333,12 23 01.7,+15 54 20
PGC040175,6560.328480160215,13.605131367796439,12 23 03.3,+05 47 09
VCC615,6589.635904682413,14.03994490637509,12 23 04.7,+12 00 56
PGC040177,6599.876070984217,11.351672441356548,12 23 04.8,+08 20 00
NGC4324,6563.170506508367,14.885829095576597,12 23 06.2,+05 15 02
PGC040186,6574.734216469841,14.77378303631005,12 23 07.4,+13 44 40
IC3239,6594.781389064569,15.102640183717469,12 23 09.6,+11 43 34
PGC1165632,6582.442815633179,13.033379571862483,12 23 09.9,+00 25 37
PGC040200,6597.402304144924,12.309702341444847,12 23 16.1,+07 41 14
NGC4330,6589.882276427483,14.37116772125945,12 23 17.1,+11 22 04
PGC1286175,6576.55503356389,14.159304592374394,12 23 18.4,+05 36 26
PGC040210,6564.633640444684,12.951291981082125,12 23 20.0,+07 04 05
NGC4328,6577.994740722487,13.468284663940246,12 23 20.0,+15 49 14
PGC040214,6593.49685593221,14.079756765358763,12 23 21.2,+15 52 06
PGC1206706,6552.374181073219,12.585688655302434,12 23 23.4,+01 48 54
PGC040229,6579.188577598996,13.686752318930651,12 23 28.6,+05 48 59
NGC4336,6600.190329551065,13.965867052854087,12 23 29.8,+19 25 37
RFGC2272,6571.2586158540125,14.309080893119532,12 23 30.0,+02 00 29
PGC040235,6589.774791055222,14.295852490448112,12 23 31.8,+17 47 41
AGC229201,6542.06376822933,14.811254492899867,12 23 31.8,+02 59 03
NGC4339,6577.132698943959,12.909750299919452,12 23 34.9,+06 04 54
NGC4340,6592.182144570707,13.808635330698571,12 23 35.3,+16 43 21
NGC4344,6576.222900775693,14.823805747563327,12 23 37.5,+17 32 27
NGC4343,6587.56017362731,12.336360655412655,12 23 38.7,+06 57 15
NGC4342,6575.023935177686,14.005571431106112,12 23 39.0,+07 03 14
PGC040262,6605.94159469489,11.443353558714218,12 23 42.9,+18 39 43
IC3258,6583.402623750078,11.956448159506898,12 23 44.4,+12 28 39
IC3259,6581.599155354141,14.244499487498132,12 23 48.5,+07 11 12
SDSSJ122349.62+182720.7,6577.717171554425,13.496375246446526,12 23 49.6,+18 27 21
PGC040274,6570.928572422736,14.489614256495322,12 23 49.9,+06 03 35
PGC040279,6609.326995032849,12.686629416751785,12 23 52.6,+13 52 57
PGC040286,6587.5976833293,13.232112295332186,12 23 53.0,+12 46 22
NGC4341,6546.938338058423,11.986139277889961,12 23 53.5,+07 06 26
NGC4348,6582.628180632502,14.4635832420918,12 23 54.0,-03 26 34
PGC040285,6581.315621660654,15.003264148174217,12 23 54.2,+03 05 06
PGC040298,6573.689774410789,14.543958067504775,12 23 57.7,+12 53 14
PGC040300,6587.853827348795,12.884331786925877,12 23 57.8,+11 53 32
NGC4350,6595.561555696025,11.977961259620095,12 23 57.8,+16 41 36
SDSSJ122358.19+072701.7,6576.749264186281,11.446759144040048,12 23 58.2,+07 27 02
NGC4353,6590.168892381635,13.844598359397885,12 24 00.3,+07 47 07
NGC4351,6605.485435957639,13.421005788052199,12 24 01.5,+12 12 17
EVCC0504,6608.861119516861,13.898191818596466,12 24 01.9,+16 50 21
PGC040310,6571.7752371234665,13.015241863035119,12 24 03.2,+05 10 50
PGC040312,6601.493469834405,12.191832176033802,12 24 04.0,+17 32 58
NGC4352,6573.294519936295,13.374951491111947,12 24 05.0,+11 13 05
SDSSJ122405.09+081737.7,6591.737580140046,14.779953516418786,12 24 05.1,+08 17 38
PGC040315,6561.411402946082,13.007254559626745,12 24 05.3,+10 04 04
IC3267,6567.559618085833,14.510789581891032,12 24 05.5,+07 02 29
PGC3293423,6570.671059113844,13.933754019545056,12 24 06.3,+02 05 35
IC3268,6575.244647477246,11.629889029075962,12 24 07.4,+06 36 29
AGC749235,6591.448574442645,12.997217453586163,12 24 09.9,+26 13 52
PGC040335,6596.831663087912,13.935216422858758,12 24 12.5,+11 31 46
DDO121,6568.717583442463,12.962379828543789,12 24 12.5,+00 34 00
PGC040338,6576.270946150765,11.15745386215135,12 24 13.8,+07 10 30
SDSSJ122414.10+184120.7,6589.220385086261,12.66460135374485,12 24 14.1,+18 41 21
Mrk51,6566.809418757642,14.884149493520127,12 24 14.5,+04 13 33
NGC4356,6577.392478661098,13.654514895622782,12 24 14.6,+08 32 11
UGC07485,6595.421991997506,12.021361115277735,12 24 22.2,+21 09 36
NGC4365,6581.805337585781,14.789000706151377,12 24 28.1,+07 19 00
KDG118,6573.482651559681,14.73491799323487,12 24 30.8,+00 04 16
SDSSJ122431.27+062916.5,6553.509286797518,12.918498910307061,12 24 31.3,+06 29 16
PGC040388,6568.843054168189,13.020409821383918,12 24 32.0,+08 38 15
PGC1293380,6572.073086022358,10.76986473038572,12 24 35.3,+06 01 59
PGC040408,6537.62476969438,14.906860987916595,12 24 39.4,+03 59 44
PGC040409,6569.412446757535,11.446937695096192,12 24 39.5,+08 30 14
PGC040411,6575.354972199587,12.379860205022624,12 24 40.0,+03 18 11
PGC040414,6578.9992654245125,14.443482143565824,12 24 41.3,+03 43 17
VLSB-D,6592.064674186339,11.777766850180587,12 24 42.1,+13 31 02
NGC4366,6607.04828259442,14.181592052542634,12 24 47.0,+07 21 11
PGC040422,6592.0799870297005,12.573985965400261,12 24 47.6,+14 34 35
PGC040424,6599.142915846677,15.2841477270286,12 24 47.8,+08 59 29
IC3292,6564.636245232291,12.620671352458857,12 24 48.4,+18 11 42
PGC040428,6576.672141503881,13.63599476984185,12 24 49.6,+06 45 34
PGC040434,6584.331030312947,13.183895541029358,12 24 51.6,+13 06 40
PGC040435,6577.18090373193,14.304812696458882,12 24 53.1,+09 29 37
PGC040437,6556.761523025371,12.95839302695417,12 24 54.1,+07 33 25
NGC4370,6588.128971148726,14.710829160989668,12 24 54.9,+07 26 41
SDSSJ122454.85+164839.1,6598.103298031345,13.020493201429975,12 24 54.9,+16 48 39
NGC4371,6579.561592165777,12.794857448201924,12 24 55.4,+11 42 15
PGC040444,6578.569162092809,13.041363920158382,12 24 56.1,+11 49 56
PGC040453,6582.236151573006,14.89148906328506,12 25 03.0,+07 30 14
PGC040457,6620.335948023908,14.148982341604803,12 25 03.5,+13 14 41
NGC4374,6602.903557216594,13.915772622775421,12 25 03.7,+12 53 14
IC3298,6608.904991620486,12.613817873010213,12 25 03.7,+17 00 57
PGC1374571,6586.171678332297,14.287864972046428,12 25 04.1,+10 06 04
PGC040462,6596.528596731322,14.910478159163432,12 25 04.3,+15 42 41
PGC040461,6549.512779576468,14.239931574783988,12 25 05.6,+05 19 45
PGC040468,6571.503502513123,12.572587974185709,12 25 08.2,+06 53 26
PGC040469,6558.168870162429,14.695378034944337,12 25 08.7,+04 24 52
NGC4377,6578.893350087481,14.237490427643888,12 25 12.3,+14 45 44
PGC040479,6599.9449034225945,11.379286912753912,12 25 13.1,+13 01 32
IC3305,6582.690025121274,12.26746178231108,12 25 14.5,+11 50 58
NGC4379,6588.355686729576,11.511382217320062,12 25 14.7,+15 36 27
IC3303,6582.846926399207,13.895387733930107,12 25 15.2,+12 42 53
PGC040493,6576.815576168501,11.61114618457216,12 25 16.8,+11 36 19
PGC040491,6599.522359081319,14.587791776516635,12 25 17.5,+14 10 21
NGC4376,6576.6105020891655,14.655985489392002,12 25 18.1,+05 44 28
NGC4378,6576.086265898913,11.329726158784272,12 25 18.1,+04 55 30
IC3308,6588.4170092392005,14.156408022150334,12 25 18.2,+26 42 55
PGC3294393,6542.415540934472,14.543437689469005,12 25 19.6,-01 35 56
PGC040505,6594.774830844279,11.962320398081562,12 25 21.6,+13 04 15
UGC07504,6603.904537701402,13.375506316123406,12 25 21.6,+16 25 47
NGC4380,6582.894807770907,13.17658114770083,12 25 22.1,+10 01 00
PGC040511,6575.358177972253,13.356942941329464,12 25 23.2,+14 48 12
NGC4382,6580.689226712906,12.405253845519283,12 25 24.0,+18 11 25
PGC040512,6569.174992025238,14.69999381799078,12 25 24.1,+18 08 23
NGC4383,6589.801572884885,13.876365055860603,12 25 25.5,+16 28 12
PGC040519,6588.478267807559,11.192277817823882,12 25 28.5,+12 38 12
PGC040521,6581.615327792208,13.931375409407927,12 25 29.1,+13 29 54
PGC169259,6602.667372922104,11.851576599991667,12 25 31.5,+11 09 30
IC3311,6595.193072110962,13.343291578671174,12 25 33.1,+12 15 38
PGC040534,6594.8017998064315,11.747399642868267,12 25 33.5,+13 13 38
PGC040531,6580.9475943028565,12.556874959807502,12 25 33.5,+04 48 28
PGC040540,6607.0178528855095,12.34961949131046,12 25 34.8,+15 11 40
PGC1282537,6571.204643139631,14.699677608180231,12 25 35.3,+05 22 52
PGC040547,6587.221526828428,14.982483901765264,12 25 36.0,+15 50 51
IC3313,6579.042125930593,14.336640640180715,12 25 36.4,+15 49 48
PGC040548,6585.772982590928,14.806983719705713,12 25 37.2,+13 08 37
PGC040553,6590.815737006784,14.605015754085144,12 25 38.7,+14 09 03
PGC040554,6578.0279570724815,14.723907367966682,12 25 38.8,+07 43 56
PGC040556,6570.692165992531,13.315472242329811,12 25 38.9,+12 18 50
PGC040560,6577.149434680832,12.508145301323957,12 25 39.4,+10 35 02
UGC07512 = LV,6562.069969112853,15.027826282252178,12 25 41.2,+02 09 33
PGC169266,6584.918359781902,13.485519243735453,12 25 41.3,+13 02 51
NGC4387,6593.3185833129555,12.202752190504924,12 25 41.7,+12 48 38
SDSSJ122542.56+264834.5,6577.014306918603,13.91794377007491,12 25 42.5,+26 48 35
RFGC2284,6569.586832724413,12.12913023444866,12 25 42.5,+07 13 02
NGC4385,6571.819773090588,14.492623656934384,12 25 42.8,+00 34 22
PGC040574,6590.298346378983,13.934005556709586,12 25 44.6,+13 01 20
NGC4388,6577.576148155436,14.922896981053274,12 25 46.8,+12 39 44
PGC040588,6578.913969865206,11.680562672003973,12 25 47.5,+14 57 07
PGC040598,6571.532147343302,11.35639200055936,12 25 50.5,+13 11 52
NGC4390,6580.0318677586165,14.0159614185864,12 25 50.7,+10 27 33
EVCC0580,6593.195822293776,13.738324851754655,12 25 51.2,+07 47 15
NGC4393,6605.184936374952,15.013776744876036,12 25 51.2,+27 33 39
PGC040604,6588.287913758396,13.099364414925944,12 25 52.5,+05 48 34
IC3322,6590.308103235909,11.529619749679298,12 25 54.1,+07 33 17
NGC4394,6571.033360078603,12.287001291055837,12 25 55.6,+18 12 51
PGC040611,6589.9369961108105,13.379382906436625,12 25 55.7,+12 46 11
PGC040615,6578.022231921184,13.434291223279978,12 25 56.1,+07 14 05
IC3328,6584.970288489054,14.264609291638138,12 25 57.9,+10 03 14
RFGC2285,6577.668527838546,13.359021623474547,12 25 58.5,+03 25 47
PGC040617,6580.951959296887,13.945130324888723,12 25 58.9,+15 16 38
NGC4396,6584.080946312994,13.144513034039512,12 25 59.1,+15 40 15
PGC040630,6581.736798874223,14.65176214280035,12 26 00.9,+07 27 19
PGC040631,6575.081912945305,14.60494871735121,12 26 01.3,+08 11 37
IC3331,6583.183366264389,14.489846744163358,12 26 05.3,+11 48 44
PGC040636,6593.306086443383,14.872115347531828,12 26 05.6,+12 33 35
PGC040641,6583.467744189603,13.836801672585228,12 26 06.7,+12 51 40
NGC4405,6580.1484507183795,13.57563493712011,12 26 07.1,+16 10 51
NGC4402,6603.769570534404,13.634739260343622,12 26 07.6,+13 06 47
NGC4406,6583.251620958972,13.16094904285945,12 26 11.8,+12 56 45
UGC07531,6558.008516308955,14.804383773098724,12 26 11.9,-01 18 16
SDSSJ122613.89+035013.6,6550.161254863445,14.665017203885608,12 26 13.9,+03 50 14
PGC040659,6583.67035758214,13.813579099838918,12 26 15.2,+12 57 50
PGC1204412,6581.379565525496,12.400403968590929,12 26 17.8,+01 44 30
PGC040670,6596.222137039099,15.050135151538498,12 26 18.5,+08 20 59
PGC135801,6570.7278334750645,13.032384893748123,12 26 19.3,+01 01 11
AGC226080,6588.780023816232,14.975721129385661,12 26 19.4,+12 53 30
PGC040672,6568.665462435507,13.3125761999477,12 26 20.0,+12 30 37
PGC040674,6578.339257541997,13.466028681426224,12 26 21.6,+06 40 11
PGC040683,6584.692732947804,14.276936082413755,12 26 22.7,-01 15 15
SDSSJ122624.54+041900.8,6552.779104744547,13.13506617682885,12 26 24.5,+04 19 01
PGC040680,6567.266221172176,12.997560825672114,12 26 24.9,+10 34 55
PGC040687,6599.5518524320705,13.4703024742279,12 26 26.1,+16 31 23
NGC4411,6598.119489378979,11.279049713486778,12 26 29.6,+08 52 17
NGC4413,6590.976878072889,13.807907926519874,12 26 32.2,+12 36 38
IC3344,6592.188522091756,13.123327927249129,12 26 32.4,+13 34 43
PGC040707,6559.667148345296,14.16277455850086,12 26 33.2,+12 44 35
PGC040712,6603.355111434079,14.24522777355325,12 26 35.1,+09 59 00
NGC4412,6593.5548763763745,14.399870159395405,12 26 36.1,+03 57 53
SDSSJ122638.81+164303.8,6587.371120437107,12.512713877679168,12 26 38.8,+16 43 04
PGC040723,6601.050195672748,11.46579528839571,12 26 39.8,+12 30 49
NGC4415,6576.007548719447,14.565763974668407,12 26 40.5,+08 26 08
SDSSJ122641.71+180813.4,6578.120298374751,11.06865653897659,12 26 41.7,+18 08 14
PGC040732,6587.372349900173,12.12785694395329,12 26 44.0,+10 54 17
PGC040737,6571.342346650273,13.081237542130467,12 26 44.3,+08 49 26
PGC040739,6579.680318278199,14.472537429254253,12 26 44.4,+11 22 47
NGC4416,6578.323630254984,13.497654127877695,12 26 46.7,+07 55 08
IC3349,6593.739459979981,14.317523188551881,12 26 47.1,+12 27 14
NGC4411B,6570.682451153293,11.81086131182705,12 26 47.2,+08 53 05
PGC1327818,6576.127969701756,14.736879876294275,12 26 47.9,+07 40 17
KDG130,6586.709635405397,13.123491143521136,12 26 50.5,+11 33 32
NGC4417,6574.387775702994,12.760675696450374,12 26 50.6,+09 35 03
IC3355,6584.633340165505,13.932410296797016,12 26 51.2,+13 10 29
IC3358,6587.428466188907,14.381733516722349,12 26 54.4,+11 39 50
EVCC0629,6604.977346505708,12.953526938751352,12 26 54.4,+18 23 37
PGC040759,6587.410592383196,14.786742411107682,12 26 54.5,+10 39 57
NGC4355,6540.366966628866,13.853251513169749,12 26 54.6,-00 52 39
PGC040767,6591.760638147942,14.827987149529342,12 26 54.8,+13 33 58
PGC040766,6586.398527089934,14.586395939677388,12 26 55.7,+09 52 56
NGC4419,6573.347561664921,14.671475137186938,12 26 56.4,+15 02 51
PGC040769,6614.337887072459,15.123499394408356,12 26 56.4,+12 57 41
NGC4409,6567.598725726843,11.195845330040147,12 26 58.5,+02 29 40
PGC040779,6599.906833065594,13.914755282479526,12 26 59.2,+14 46 57
NGC4421,6590.8362823414445,13.908466498069174,12 27 02.5,+15 27 41
IC3363,6589.900376839438,15.09006173689832,12 27 03.1,+12 33 38
PGC040787,6592.847854630672,14.59277579127889,12 27 03.8,+12 52 00
PGC040790,6571.912424670046,12.010441233407427,12 27 04.5,-00 54 21
NGC4423,6570.336757345087,12.296788138672376,12 27 09.0,+05 52 50
PGC040803,6592.883213036428,11.390423543860706,12 27 09.9,+08 23 24
PGC040806,6589.924119215791,10.729219853573117,12 27 11.2,+12 02 17
UGC07557,6569.973656492056,14.017773217097215,12 27 11.3,+07 15 47
IC3365,6570.354957800331,13.88311144230223,12 27 11.4,+15 53 50
NGC4424,6566.674102680481,13.034059731028822,12 27 11.7,+09 25 14
PGC040810,6575.2500247561775,11.247632743694652,12 27 11.9,+08 50 24
PGC040814,6587.4711658276765,13.838257657362107,12 27 12.8,+17 49 15
PGC213995,6588.048365055134,11.71626342494556,12 27 12.8,+07 38 21
NGC4425,6614.260974960296,12.365106271770394,12 27 13.3,+12 44 05
AGC227991,6560.415455808105,14.222646824525501,12 27 15.6,+04 07 39
PGC040825,6593.056041032277,12.877115587706278,12 27 15.8,+04 15 49
IC3369,6596.237833414839,14.846847466165165,12 27 16.9,+16 01 28
PGC040831,6569.87148649784,11.33049035819796,12 27 17.6,+07 40 12
